id,created_at,content,tags
32,"2024-07-12 04:23:22.108901+00",좋아요,"[""joy""]"
33,"2024-07-12 04:23:26.029502+00","마늘바께뜨 별로 안좋아하는데 여긴 맛있네요","[""surprise"", ""joy""]"
34,"2024-07-12 04:23:29.96934+00",굿,"[""joy""]"
35,"2024-07-12 04:23:35.882146+00","마농바게트 맛있어요","[""joy""]"
36,"2024-07-12 04:23:39.959596+00","이거저거 먹어보고 싶었는데 빵하나가 커서 몇개 못사서 아쉬워요ㅠ 특별한 맛은 아닌데 그렇다고 또 같은 맛도 아닌 맛이에요","[""sadness"", ""anticipation""]"
37,"2024-07-12 04:23:47.063192+00","다른 마늘빵 맛집보다 마늘이 씹혀서 좋았요 인절미빵은 별로에요","[""joy"", ""disgust""]"
38,"2024-07-12 04:23:53.229422+00","마늘빵 맛난데 부산 남구 빵집의 마늘빵과 맛이 똑같았네요 ㅎㅎ 초코브라우니가 더 맛나요","[""joy"", ""surprise""]"
39,"2024-07-12 04:23:56.992743+00",굿,"[""joy""]"
40,"2024-07-12 04:24:00.992324+00","마농 바게트가 제일 괜찮았어요","[""joy""]"
41,"2024-07-12 04:24:05.13411+00","유명한 마농바게트 먹었는데 맛있어요 지나가다가 들러서 사먹기 좋음
계속 마늘빵 구워져서 나와서 계산대에서 몇개 달라고 하면됨 안기다려서 좋았음 
뜯어먹기는 불편햇음 칼이랑 포크 달라해서 먹으면 좋은데 주는지는 모르겠음
커피랑 드세요","[""joy"", ""trust"", ""anticipation""]"
42,"2024-07-12 04:24:12.18936+00","처음먹어보는 마늘빵","[""surprise"", ""anticipation""]"
43,"2024-07-12 04:24:17.329642+00",또갈거에요,"[""joy"", ""anticipation""]"
44,"2024-07-12 04:24:23.442012+00","와 마늘바게트🥖 너무 맛있어요😍","[""joy"", ""surprise""]"
45,"2024-07-12 04:24:27.390996+00","빵  맛나고 담백해요","[""joy"", ""trust""]"
46,"2024-07-12 04:24:31.243905+00",좋앙ᆢ,"[""joy""]"
47,"2024-07-12 04:24:38.028985+00",좋아요,"[""joy""]"
48,"2024-07-12 04:24:41.864246+00","제주도 갈때마다 매번 먹는 마농바게뜨 ❤
최애의 마늘빵 진짜 최고입니다🥖👍","[""joy"", ""trust"", ""anticipation""]"
49,"2024-07-12 04:24:46.682517+00","마늘 바게트로 유명한 함덕해수욕장 베이커리 촉촉한 빵이 맛있네요","[""joy"", ""trust""]"
50,"2024-07-12 04:24:51.724022+00","빵이 달지않아 좋아요","[""joy""]"
51,"2024-07-12 04:24:57.574818+00",Good,"[""joy""]"
52,"2024-07-12 04:25:04.600014+00","맛있어요 친절하십니다","[""joy"", ""trust""]"
53,"2024-07-12 04:25:09.635511+00",최고,"[""joy""]"
54,"2024-07-12 04:25:17.213997+00",굿,"[""joy""]"
55,"2024-07-12 04:25:25.087957+00","너무 맛잇어여","[""joy""]"
56,"2024-07-12 04:25:31.023489+00","마늘빵 맛집 진짜 많은데 여긴 찐이에요
왜 이걸 하나만 사왔을까요 ㅠ
주차장이 있긴한데 34자리 밖에 없어서 주차 못 했어요","[""joy"", ""sadness""]"
57,"2024-07-12 04:25:35.91233+00","아침에만 먹을수 있는  시리얼샌드위치
가성비 굿  맛도 굿입니다","[""joy"", ""trust""]"
58,"2024-07-12 04:25:41.899542+00","사람들 마나마나","[""sadness""]"
59,"2024-07-12 04:25:45.747365+00",맛있어요,"["".joy""]"
60,"2024-07-12 04:25:51.029187+00","마늘바케트 유명해진 후 천원 올랐네요ㅠ
오징어먹물에 크림치즈 들어있는 최애빵은 금액 그대로 여서 좋아요
아침부터 사람 진짜 많더라구요","[""sadness"", ""joy""]"
61,"2024-07-12 04:25:57.267785+00","제주도 올때마다 와요 빵이 너무 맛있어요","[""joy"", ""anticipation""]"
62,"2024-07-12 04:26:03.493722+00","마늘빵 맛있어요","[""joy""]"
63,"2024-07-12 04:26:12.982729+00","마농바게뜨 맛있어요","[""joy""]"
64,"2024-07-12 04:26:17.634305+00","명성만큼은 아닌듯","[""disgust""]"
65,"2024-07-12 04:26:22.685603+00",맛나요,"[""joy""]"
66,"2024-07-12 04:26:26.752475+00",빵이다양해요,"[""joy""]"
67,"2024-07-12 04:26:31.870563+00","마농 바게트","[""joy"", ""trust""]"
68,"2024-07-12 04:26:35.918235+00","빵 다 맛있어요ㅎ","[""joy""]"
69,"2024-07-12 04:26:41.95656+00","마농바게트 맛있어요 
여기선 꼭 먹어야 됩니다","[""joy"", ""trust"", ""anticipation""]"
70,"2024-07-12 04:26:49.088646+00","빵이 맛있어요","[""joy""]"
71,"2024-07-12 04:26:54.934423+00","마농바게트로 유명한 집이어서 손님도 많고
다른 빵들도 맛있어요","[""joy"", ""trust"", ""anticipation""]"
72,"2024-07-12 04:27:02.590001+00",마늘바게뜨,"[""joy"", ""surprise""]"
73,"2024-07-12 04:27:07.728382+00","마늘바게트 맛있습니다","[""joy""]"
74,"2024-07-12 04:27:12.019529+00","마농은 계산대에 바로말하면줌","[""joy"", ""trust""]"
75,"2024-07-12 04:27:15.999596+00","샌드위치 진짜 짱맛","[""joy""]"
76,"2024-07-12 04:27:22.912361+00","빵은 맛있어요 근데 좀 비싸요","[""joy"", ""sadness""]"
77,"2024-07-12 04:27:28.306311+00","빵 너무 맛있어요ㅠㅠ 마농바게뜨 최고","[""joy"", ""trust""]"
78,"2024-07-12 04:27:35.191432+00",굿,"[""joy""]"
79,"2024-07-12 04:27:42.321592+00","빵 너무 맛있어요","[""joy""]"
80,"2024-07-12 04:27:46.269015+00","유명한곳이라 역시 빵이 맛있어요","[""joy"", ""trust""]"
81,"2024-07-12 04:27:53.353958+00","빵 맛집","[""joy""]"
82,"2024-07-12 04:28:00.90481+00","마농바게트 존맛탱 ㅎㅎ 다른것들도 맛있을거같아요 왕창 사왔어용","[""joy"", ""anticipation""]"
83,"2024-07-12 04:28:07.792266+00","가격은 좀 비싸지만 제주도니까 ㅠㅠ
맛은 있어요","[""sadness"", ""anticipation""]"
84,"2024-07-12 04:28:13.777052+00","마농바게트 진짜맛있어요
따뜻할때 먹으면 진짜JMTᰔᩚ","[""joy"", ""anticipation""]"
85,"2024-07-12 04:28:17.656528+00",좋아요,"[""joy""]"
86,"2024-07-12 04:28:21.835442+00",좋아요,"[""joy""]"
87,"2024-07-12 04:28:28.73714+00","역시 빵은 오드랑 동네에서 유일하게 믿고 찾는 빵집 마농바게트 말고 다른 빵들도 맛있어요","[""trust"", ""joy""]"
88,"2024-07-12 04:28:32.751979+00","처음에 마농바게트 사먹었을때는 바게트빵 자체도 겉바속촉으로 맛있었는데 제빵 직원들이 바뀐듯한ㅜㅜ
특히 빵 썰때 저렇게 칼집을 끝까지 안내면 저 부분은 크림이 안 스며들어서 뻑뻑하고 맛없음빵은 내가 먹기편하게 가위로 자른거고 크림이 묻지않은 맨빵부분이 바게트 자를때 칼집 덜내서 크림이 안묻은 거","[""sadness"", ""disgust""]"
89,"2024-07-12 04:28:37.10865+00",맛있어요,"[""joy""]"
90,"2024-07-12 04:28:42.122264+00","인절미브레드 맛있어요","[""joy""]"
91,"2024-07-12 04:28:47.060324+00","마늘바게뜨 먹엇는데
맛잇어요","[""joy""]"
92,"2024-07-12 04:28:53.499157+00","맛있어요
잘먹었어요","[""joy"", ""trust""]"
93,"2024-07-12 04:28:58.641041+00","빵은 맛있는데 좌석이 너무 적어서 차에서 불편하게 먹었어요","[""sadness"", ""joy""]"
94,"2024-07-12 04:29:05.727979+00",좋아요,"[""joy""]"
95,"2024-07-12 04:29:12.882359+00","마농 바케트 맛잇어요","[""joy""]"
96,"2024-07-12 04:29:17.873008+00",굿,"[""joy""]"
97,"2024-07-12 04:33:56.306277+00","쿠키만 사려 했는데 스콘이 너무 맛있어보여서… 대체적으로 다 맛있었어요 말차초코는 안에 크림치즈 꽤 많이 들어있습니당","[""joy"", ""surprise"", ""trust"", ""anticipation""]"
98,"2024-07-12 04:34:01.373593+00","쿠키들 넘 맛있었어요  ㅠㅠ 진심 하나씩 다 사고싶었는데 몇개만 고르느라 애먹음 오레오 로투스 그리고 무슨 크럼블 올라간 쿠키 세개 먹었는데 오레오 스모어 미만잡입니다 꼭드세여","[""joy"", ""anticipation"", ""trust""]"
99,"2024-07-12 04:34:05.492699+00","말차 화이트 초코 짱짱맛","[""joy""]"
100,"2024-07-12 04:34:10.660059+00","짱 ㅎㅎ 맛 있어요 제주도 최고의 맛집","[""joy""]"
101,"2024-07-12 04:34:14.540271+00","이런거 원래 잘 안 쓰는데 넘 맛있어서 남겨용☺️ 벌써 5번째오는 곳🤍💗☺️ 인절미쑥스콘도 먹고 싶었는데 품절🥲 그래도 버터캐러멜스콘 겟💗👍
이쁘신 사장님이 친절하기까지👍

흥하세염💗","[""joy"", ""sadness"", ""trust"", ""anticipation""]"
102,"2024-07-12 04:34:20.562968+00","이런 쿠키전문점에서 쿠키 처음먹어봤는데
진짜 너무 맛있어요 ㅠㅠ 가게도 넘 예쁘고
사장님친절하셔서 기분이 좋아집니다 ♥ 
쿠키맛집","[""joy"", ""trust"", ""joy""]"
103,"2024-07-12 04:34:27.406699+00","비오는 날 쿠키가 땡겨서 다녀왔어요 사장님 추천으로 말차가나슈 먹어봤는데 크림이 너무 쫀득하고 찐하네요 비오는 날 맛있는 커피와 쿠키를 먹으니 여기가 천국이네요","[""joy"", ""trust"", ""anticipation""]"
104,"2024-07-12 04:34:33.559815+00","말차가나슈 좋아하는데 진짜 맛있어요
조금만 덜 달았으면 하는 생각도있는데 그래도 맛있어요 두개사길잘했어","[""joy"", ""trust"", ""anticipation""]"
105,"2024-07-12 04:34:42.078329+00","초코칩스콘 완전 초코칩 만땅 겉바속촉 대박이고
말차초코쿠키도 입에서 녹아요…
스모어쿠키도 쩐답니다…
다들 츄라이 츄라이…","[""joy"", ""surprise"", ""trust""]"
106,"2024-07-12 04:34:49.45805+00","저희 애가 너무 좋아해요💙💙","[""joy""]"
107,"2024-07-12 04:34:54.696547+00","저번주에 먹고 오늘 또 갔다왔어요
인스타에 보니까 밀크쉐이크에 쿠키부셔먹는게 나를 유혹하는 바람에미친내살
밀크쉐이크에 피넛버터 부셔서먹었는디
걍 천국 오 잇츠헤븐","[""joy"", ""anticipation"", ""trust""]"
108,"2024-07-12 04:35:02.114645+00","오오 쿠키넘 맛있어요 진짜
당근크럼블크림치즈쿠키 진짜 최고에요
인절미스콘은 쫜득쫜득ㅋㅋㅋㅋ한번에 두개먹어듀 안물리는 맛 번창하세용","[""joy"", ""surprise"", ""trust"", ""anticipation""]"
109,"2024-07-12 04:35:09.73225+00","여기 있는 메뉴 진짜 하나하나 다 맛있어요 
크럼블 쿠키 스콘 케이크 다다다 
사장님도 친절하시고 인테리어도 이뻐서
제 최애집 입니당","[""joy"", ""trust""]"
110,"2024-07-12 04:35:16.854841+00","사장님 너무 친절하시고 스콘이 너무 맛잇어요말차 스콘 필수 서울가면 생각날거 같아요 서울에 2호점 내주세요ㅠㅠ","[""joy"", ""trust"", ""anticipation""]"
111,"2024-07-12 04:35:23.230035+00","주문 제작 케이크도 너무 예쁘게 만들어주시고 다른 디저트도 너무 맛있었어요 당근크럼블 쿠키는 당근케이크 맛이 나서 좋았습니당 ㅠㅠㅠ 스콘도 아메리카노랑 먹으면 👍🏻 집이랑 가깝진 않지만 또 방문할 의사 있습니다","[""joy"", ""trust"", ""anticipation""]"
112,"2024-07-12 04:35:30.476109+00",맛있어요♡,"[""joy""]"
113,"2024-07-12 04:35:34.702771+00","말이 필요없네요 👍","[""joy"", ""trust""]"
114,"2024-07-12 04:35:42.69439+00","마침 인스타에서 디자인 케이크 주문받고 있길래 어버이날이라서 바로 예약했어요 🌈🌹
실물이 사진에 안 담겨서 슬프네요 ㅠ
맛도 최고 진짜 케이크 맛집 인정합니다 🤍","[""joy"", ""sadness"", ""trust""]"
115,"2024-07-12 04:35:48.784633+00","이제까지 먹은 쿠키랑 스콘 중에 진짜 제일 맛있어요 또 먹고싶은 맛이에요 💙","[""joy"", ""anticipation""]"
116,"2024-07-12 04:35:52.689442+00","허허 지인이 가보자해서 갔는데
우리 딸들이 정말 좋아할만한 
많은 쿠키와 크롬블들이 다양하게 있어
몇개 사서 가네요 우리딸처럼 
예쁜사장님이 웃으면서 대해주셔서 참 마음깢 따뜻해졌네요 다음에 또 올께요","[""joy"", ""trust"", ""anticipation""]"
117,"2024-07-12 04:35:56.501466+00","쿠키 개존맛집 특히 레드벨벳 크림치즈 최애입니다 ㅋㅎ","[""joy"", ""trust""]"
118,"2024-07-12 04:36:02.626886+00",굳,"[""joy""]"
119,"2024-07-12 04:36:09.937257+00",굳,"[""joy""]"
120,"2024-07-12 04:36:14.723531+00",👍👍👍❤,"[""joy"", ""trust""]"
121,"2024-07-12 04:36:22.416688+00",맛있어요♡,"[""joy""]"
122,"2024-07-12 05:39:50.580237+00","키쉬종류가 많아서 좋아요","[""joy""]"
123,"2024-07-12 05:39:54.472614+00","매장인테리어 귀엽구 빵도 일반적이지 않은 빵들이 많아서 좋았어요","[""joy"", ""surprise""]"
124,"2024-07-12 05:40:01.551747+00","리뷰보고 걸어찾아가곳 ㅋ 당근케익 맛잇어요","[""surprise"", ""joy""]"
125,"2024-07-12 05:40:07.84437+00","빵은 정말 맛있습니다
음료는 드시지마세요 천혜향에이드 시켰는데 아무맛도 안났어요 플레인 탄산수에 청을 넣어주시는거 같은데 탄산수맛만 나서 이럴꺼면 탄산수를 먹지싶었어요 얼음도 안들어있어서 시원하지도 않고 탄산수맛 에이드라니 시럽 넣어달라 부탁드려서 먹었는데도 이건 좀 빵만 파시는게 어떠실런지","[""disgust"", ""anger"", ""sadness""]"
126,"2024-07-12 05:40:14.9409+00","인스타에서 많이 봤던 카페였는데 다양한 디저트 메뉴들이 있네요  가성비도 괜찮은 거 같아요 
옆 식당마요네즈에서 식사하시고 디저트는 요기서 드셔보세용ㅎㅎ","[""anticipation"", ""joy"", ""trust""]"
127,"2024-07-14 06:11:30.935777+00","키쉬종류가 많아서 좋아요","[""joy""]"
128,"2024-07-14 06:11:38.898569+00","매장인테리어 귀엽구 빵도 일반적이지 않은 빵들이 많아서 좋았어요","[""surprise"", ""joy""]"
129,"2024-07-14 06:11:46.523049+00","리뷰보고 걸어찾아가곳 ㅋ 당근케익 맛잇어요","[""trust joy surprised""]"
130,"2024-07-14 06:11:55.534741+00","빵은 정말 맛있습니다
음료는 드시지마세요 천혜향에이드 시켰는데 아무맛도 안났어요 플레인 탄산수에 청을 넣어주시는거 같은데 탄산수맛만 나서 이럴꺼면 탄산수를 먹지싶었어요 얼음도 안들어있어서 시원하지도 않고 탄산수맛 에이드라니 시럽 넣어달라 부탁드려서 먹었는데도 이건 좀 빵만 파시는게 어떠실런지","[""disgust"", ""surprise"", ""anger""]"
131,"2024-07-14 06:12:02.029016+00","인스타에서 많이 봤던 카페였는데 다양한 디저트 메뉴들이 있네요  가성비도 괜찮은 거 같아요 
옆 식당마요네즈에서 식사하시고 디저트는 요기서 드셔보세용ㅎㅎ","[""joy"", ""anticipation""]"
132,"2024-07-14 06:12:06.758046+00","얼그레이무화과 진짜 맛있어요 👍🏼","[""joy""]"
133,"2024-07-14 06:12:15.023887+00",베이커리맛집,"[""joy""]"
134,"2024-07-14 06:12:20.644026+00",쏘쏘,"[""anger""]"
135,"2024-07-14 06:12:25.781281+00","굿굿 맛있어요","[""joy""]"
136,"2024-07-14 06:12:33.264487+00","‘키쉬’ 사서 먹었는데 피자맛이에요 ㅎㅎ
직원분들이 친절하시고 꼼꼼하게 챙겨주세요","[""trust"", ""joy""]"
137,"2024-07-14 06:12:40.938146+00","진짜 맛있는 키쉬를 너무 오랜만에 먹은듯한데 해외서 먹었던 맛 그대로이고 케익은 적당히 달달한 디저트의 느낌이네요","[""surprise"", ""joy""]"
138,"2024-07-14 06:12:50.063683+00",굿,"[""joy""]"
139,"2024-07-14 06:12:55.285351+00","에그타르트 맛있음
근데 금방 솔드아웃 됨 일찍가서 구매하길","[""sadness"", ""joy""]"
140,"2024-07-14 06:13:04.914012+00","직원 친절해요 맛은 쏘쏘","[""sadness"", ""joy""]"
141,"2024-07-14 06:13:09.830001+00","살짝 비싼감 있는데 맛있고 배불러요","[""sadness"", ""joy""]"
142,"2024-07-14 06:13:14.50113+00","먹을때마다 맛이 좋아요","[""joy""]"
143,"2024-07-14 06:13:20.812268+00",맛있어용,"[""joy""]"
144,"2024-07-14 06:13:25.215911+00","종류가 더 다양했으면 좋겠어요","[""sadness"", ""joy""]"
145,"2024-07-14 06:13:32.869421+00","맛은 있지만 저에게는 금액대가 ㅋㅋㅋ 그래도 맛나게 먹었어요","[""sadness"", ""joy""]"
146,"2024-07-14 06:13:39.803861+00","우연히 찾아들어갔는데 너무 맛있네요 재방문의사있습니당","[""joy""]"
147,"2024-07-14 06:13:46.678871+00","직원분도 엄청 친절하시고 빵도 맛있어요","[""joy""]"
148,"2024-07-14 06:13:54.517543+00","네이버 별점은 처음인데 매번 갈 때마다 반갑게 맞이해주시고 메뉴도 추천해주셔서 감사해요 골고루 텍스처베이커리 메뉴들을 먹어봤는데 정말 다 맛있어요  😋 특히나 얼그레이카라멜 짱맛입니다  커피와 같이 먹으면 진짜 너무너무 맛있어요  메뉴 도장깨기 해 보겠습니다아","[""trust"", ""surprise"", ""joy""]"
149,"2024-07-14 06:14:01.884928+00","처음가봤어요   친절하네요","[""trust"", ""joy""]"
150,"2024-07-14 06:14:09.623421+00","에그타르트 맛집 앉은자리에서 에타 순삭 많이 달지도 않고 계란 비린내도 안나고 아주 맛이 좋아요
다른 베이커리도 맛이 너무 궁금하네용","[""surprise"", ""joy""]"
151,"2024-07-14 06:14:16.130695+00","딸기 티라미수 넘 맛있어요","[""surprise"", ""joy""]"
152,"2024-07-14 06:14:24.13102+00","완전 강츄요
다 맛있고 사장님도 왕친절하세여","[""joy""]"
153,"2024-07-14 06:14:32.452917+00",맛있어요,"[""joy""]"
154,"2024-07-14 06:14:37.251711+00","메뉴좋고 친절한 디저트샵이었어요 
사장님께서 친절하게 설명도 잘해주시고 웃으면서 응대도 잘해주시고 기분좋게 잘 사와서 먹고있어요 유명맛집답게 디저트도 너무 맛있어요 
자주 가겠습니다","[""trust"", ""surprise"", ""joy""]"
155,"2024-07-14 06:14:45.088657+00","인테리어 예뻐요  사장님도 친절하시구","[""trust"", ""surprise"", ""joy""]"
156,"2024-07-14 06:14:52.46103+00",맛있네욥,"[""joy""]"
157,"2024-07-14 06:14:58.649321+00",굿,"[""joy""]"
158,"2024-07-14 06:15:04.703661+00","바질키쉬 너무너무 맛있어요 
바질맛 좋아하시면 강추

다음엔 땅콩 쿠키 꼭 구입하고싶네요 ㅠㅠ","[""surprise"", ""joy""]"
159,"2024-07-14 06:15:10.502138+00","남자사장님이 진짜 너무너무 친절하셔요 
굿 굿  짱짱 
딸기 딥 초코 타르트 사먹었는데
맛있어요 
그리고 타르트 6조각해서 케이크처럼 선물했는데 맛은 모르지만 진짜 예뻐요
레터링도 예쁘게 해주셨어요 감사합니다","[""trust"", ""joy""]"
160,"2024-07-14 06:15:16.360491+00","에그타르트 맛있어요","[""joy""]"
161,"2024-07-14 06:15:23.787603+00","완전 맛집","[""joy""]"
162,"2024-07-14 06:15:30.908707+00","직원분들 전부 친절하시고 빵 맛나요","[""surprise"", ""joy""]"
163,"2024-07-14 06:15:37.095059+00","올 때마다 친절하시고 맛도 친절하신 만큼 너무 맛있어용ㅎㅎ 진열대에 필름도 보이네용 위생도 신경써주시는 것 같아서 만족스럽습니다👍👍 또 올게용","[""trust"", ""joy""]"
164,"2024-07-14 06:15:43.347859+00","사진에 있는거 말고는 포장이 안 되어 있어서저녁에 갔었는데  언제 빵이 나왔는지 모르게지만 7시까지 그냥 포장 없이 있던게 요즘같은때에는 쪼금ㅎ 냉장고에 있ㄷ던 케이크 위주로 샀어요","[""surprise"", ""joy"", ""fear""]"
165,"2024-07-14 06:15:50.758336+00",키쉬맛나옹,"[""joy""]"
166,"2024-07-14 06:15:56.521518+00",맛있어요,"[""joy""]"
167,"2024-07-14 06:16:03.077076+00","베지키쉬 당근 티라미수 등도 먹고 싶었는데 에그타르트만 먹었어요 놀라운 맛은 아니였고 괜찮았어요","[""sadness"", ""joy""]"
168,"2024-07-14 06:16:09.267502+00","키쉬랑 에그타르트 정말정말 너무너무 맛있어요
달걀을 잘 사용하시는 듯 해요
비리지도 않고 맛나요","[""trust"", ""joy""]"
169,"2024-07-14 06:16:16.687917+00","배달도되었으면좋겠어요ㅠㅠ 너무맛있어요","[""sadness"", ""joy"", ""fear""]"
170,"2024-07-14 06:16:20.591957+00","키쉬 피자맛 나고 맛있어요
고르곤졸라 치즈케이크는 아빠가 극찬했어요 진짜 맛있어요","[""joy""]"
171,"2024-07-14 06:16:27.224351+00","착한 디저트집
가격착하고 맛나요
안에서 드실곳 없이 사가기만 하는곳이라 쪼금 아쉽네요","[""sadness"", ""joy""]"
172,"2024-07-14 06:16:31.84542+00",존맛탱,"[""joy""]"
173,"2024-07-14 06:16:40.784454+00","사장님 친절하시고 빵 맛있어요","[""joy""]"
174,"2024-07-14 06:16:45.139529+00","첫 방문 얼그레이 고소하니 맛있어요","[""joy""]"
175,"2024-07-14 06:16:54.079759+00","처음 먹어봤는데 맛있네요 자주 와야겠어요","[""trust"", ""surprise"", ""joy""]"
176,"2024-07-14 06:16:59.783526+00",맛있어요,"[""joy""]"
177,"2024-07-14 06:17:05.212223+00","직원분들 친절하고 고급스런 빵 먹는기분이에요","[""trust"", ""joy""]"
178,"2024-07-14 06:17:13.145799+00",키쉬짱맛입니당🤩,"[""joy""]"
179,"2024-07-14 06:17:17.999182+00","맛있게 잘 먹었어요","[""joy""]"
180,"2024-07-14 06:17:24.571235+00","최애 베이커리 입니다","[""joy""]"
181,"2024-07-14 06:17:31.94186+00","맛있는데 비싸요","[""sadness"", ""joy""]"
182,"2024-07-14 06:17:38.662517+00",굿,"[""joy""]"
183,"2024-07-14 06:17:46.079382+00",굿굿,"[""joy""]"
184,"2024-07-14 06:17:51.229712+00","사장님 넘나 친절  겨울딸기 먹었는데 대바쿠","[""surprise"", ""joy""]"
185,"2024-07-14 06:17:56.780147+00","집앞에 있었다면 매일 갔을거에요  방문할때마다 특별한 메뉴가 있어서 좋아요","[""surprise"", ""joy""]"
186,"2024-07-14 06:22:19.300329+00","규모는 작지만 빵이 맛있고 가격도 저렴해서 자주 방문하고 있습니다 사장님 친절하시고 좋습니다","[""trust"", ""sadness"", ""anticipation"", ""joy""]"
187,"2024-07-14 06:22:25.635147+00","색롤을 구입했습니다 맛있고 보기에도 좋았습니다","[""trust"", ""anticipation"", ""joy"", ""surprise""]"
188,"2024-07-14 06:22:33.251234+00","옛날 빵들이 많아서 나이 드신 분들 좋아할만한 빵집입니다
동네 빵집이라서 빵은 직접 만들어서 판매합니다 사장님 친절하십니다
규모는 크지 않고 빵만 사갈 수 있습니다","[""trust"", ""joy"", ""anticipation"", ""surprise""]"
189,"2024-07-14 06:22:40.540916+00","동네 옛날 빵 맛집 
맛은 기본이고 인심까지 좋아요👍🏻","[""trust"", ""sadness"", ""anticipation"", ""joy""]"
190,"2024-07-14 06:22:49.133701+00",좋아요,"[""anticipation"", ""joy""]"
191,"2024-07-14 06:22:53.461817+00","빵이 다 너무 맛있어요  최고","[""trust"", ""anticipation"", ""joy"", ""surprise""]"
192,"2024-07-14 06:22:59.747684+00","제주도제주시법원빵집구제주구제주빵집제주동네빵집

이 집은 진짜 단골인데요 빵도 넘 맛있고 가격도 저렴해서 한번 가면 왕창 사먹어요ㅠㅠ
전 몸이 안 좋으면 생크림 케이크를 먹는데 어제도 몸이 안 좋아서 케이크 작은 사이즈에 고로케를 사 먹었어요
근데 케이크가 어찌나 맛있는지ㅠㅠ 고구마 케이크인데 안에 고구마 조각도 있어서 더 좋았고 안쪽 시트엔 노랗게 으깬 고구마 크림같은 것도 있더라구요

여튼 저녁 가볍게 먹고 먹은 건데도 다 먹어버렸네요 보통 이렇게 먹음 다음날 엄청 더부룩한데 저는 더부룩함 없이 진짜 개운했어요

진짜 넘넘 잘 먹었습니다","[""sadness"", ""trust"", ""joy"", ""anticipation"", ""surprise""]"
